;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
13815;180008065295;2018;2;27040348.0;2707701.0;Rio Largo;2.0;2.0;439.7;585.4;486.2;459.1;420.0
13816;180007303942;2018;2;27226328.0;2702306.0;Coruripe;2.0;2.0;;;;;
13817;180007254639;2018;1;32081340.0;3204559.0;Santa Maria de Jetibá;1.0;2.0;496.2;645.1;584.1;571.4;780.0
13818;180008108235;2018;2;32059868.0;3203320.0;Marataízes;2.0;2.0;457.2;497.9;483.8;391.8;360.0
13819;180008096061;2018;1;43246400.0;4317806.0;Santo Augusto;1.0;2.0;437.3;596.0;485.4;489.4;320.0
13820;180008488349;2018;2;51050358.0;5105200.0;Juscimeira;2.0;2.0;443.8;492.3;456.9;402.4;320.0
13821;180008526789;2018;4;29163048.0;2904902.0;Cachoeira;4.0;2.0;432.8;587.1;510.4;575.2;820.0
13822;180007288474;2018;2;41111427.0;4120606.0;Prudentópolis;2.0;2.0;464.5;549.8;571.6;407.6;580.0
13823;180008488357;2018;2;26043505.0;2614808.0;Tacaratu;2.0;2.0;;;;;
13824;180008526797;2018;2;23545453.0;2302305.0;Bela Cruz;2.0;2.0;417.1;494.4;476.4;395.7;560.0
13825;180008534403;2018;2;15165981.0;1505536.0;Parauapebas;2.0;2.0;502.6;451.4;556.6;427.7;800.0
13826;180007292026;2018;2;33053189.0;3302502.0;Magé;2.0;2.0;531.1;648.8;585.1;586.0;420.0
13827;180008521592;2018;1;52070913.0;5205406.0;Ceres;1.0;2.0;403.0;593.8;354.8;426.8;360.0
13828;180007292029;2018;2;23100575.0;2311306.0;Quixadá;2.0;2.0;446.6;496.7;449.7;449.6;0.0
13829;180008520470;2018;2;21259836.0;2104206.0;Fortuna;2.0;2.0;;;;;
